codigo,reporte_falta_agua,freporte_falta_agua
13110,3,4
13119,0,1
13123,16,5
13129,0,1
13150,5,4
13180,5,4
13200,73,5
13209,72,5
13210,13,5
13220,3,4
13229,17,5
13230,2,4
13250,3,4
13273,51,5
13280,2,4
13310,20,5
13315,8,4
13318,3,4
13363,1,3
13400,203,5
13419,10,5
13420,44,5
13429,7,4
13430,451,5
13460,9,5
13500,0,1
13509,0,1
13510,0,1
13520,1,3
13529,0,1
13545,142,5
13546,0,1
13549,73,5
13559,1,3
13600,6,4
13601,0,1
13610,4,4
13625,47,5
13630,4,4
13640,10,5
14009,6,4
14010,2,4
14017,0,1
14020,1,3
14030,2,4
14049,0,1
14050,2,4
14060,0,1
14090,52,5
14098,0,1
14120,0,1
14129,1,3
14130,4,4
14140,0,1
14141,0,1
14148,0,1
14149,4,4
14150,2,4
14160,2,4
14208,0,1
14209,3,4
14210,0,1
14230,32,5
14239,4,4
14248,19,5
14265,0,1
14266,0,1
14267,8,4
14268,0,1
14269,0,1
14270,21,5
14273,215,5
14275,38,5
14276,1,3
14307,0,1
14309,3,4
14320,1,3
14324,0,1
14325,1,3
14327,0,1
14329,1,3
14334,9,5
14336,0,1
14337,0,1
14339,0,1
14350,2,4
14356,2,4
14358,1,3
14376,8,4
14377,1,3
14378,0,1
14386,0,1
14387,0,1
14388,10,5
14389,2,4
14399,0,1
14400,2379,5
14406,6,4
14408,2,4
14409,10,5
14410,1,3
14428,0,1
14429,6,4
14438,5,4
14439,9,5
14440,2,4
14450,0,1
14456,28,5
14460,7,4
14476,44,5
14479,81,5
14480,428,5
14490,1948,5
14500,4725,5
14520,10,5
14529,2,4
14550,4,4
14600,2,4
14608,0,1
14609,2,4
14610,7,4
14629,3,4
14639,2,4
14640,0,1
14643,1,3
14646,7,4
14650,18,5
14651,0,1
14653,0,1
14655,267,5
14656,0,1
14657,13,5
14658,2,4
14659,0,1
14700,1690,5
14710,1267,5
14720,173,5
14730,92,5
14734,957,5
14737,11,5
14738,227,5
14739,62,5
14740,51,5
14749,18,5
14750,0,1
14760,138,5
