codigo,adecuacinsanitaria,fadecuacinsanitaria
2330,.92769998,4
2340,.71130002,3
2350,0,1
2360,.74409997,3
2409,0,1
2410,.99870002,5
2419,0,1
2430,0,1
2440,.90990001,4
2459,.95190001,4
2470,.91530001,4
2479,0,1
2480,.98989999,5
2500,.99659997,5
2519,.9199,4
2520,0,1
2525,0,1
2530,.97140002,4
2540,0,1
2600,.95200002,4
2640,.9077,4
2650,.96359998,4
2660,.91869998,4
2670,.92309999,4
2680,.91600001,4
2700,.85759997,3
2718,0,1
2719,.83829999,3
2729,0,1
2730,.97030002,4
2739,0,1
2770,.82669997,3
2780,.93589997,4
2790,.94709998,4
2800,.99669999,5
2820,0,1
2850,.94959998,4
2860,.94959998,4
2870,.97000003,4
2900,.90859997,4
2910,.92570001,4
2920,.96069998,4
2930,.91339999,4
2940,.95969999,4
2950,.93409997,4
2960,.76249999,3
2970,.85949999,3
2990,.96749997,4
3000,.99699998,5
3010,.99519998,5
3027,0,1
3028,0,1
3103,.99769998,5
3104,.99720001,5
3109,0,1
3199,0,1
3200,.99129999,5
3219,0,1
3220,0,1
3229,0,1
3230,.99760002,5
3240,1,5
3300,.99250001,5
3303,.99059999,5
3310,.98150003,5
3311,0,1
3313,0,1
3319,0,1
3320,.95340002,4
3330,.97310001,4
3339,0,1
3340,.99620003,5
3410,.99129999,5
3420,.99559999,5
3430,.9921,5
3440,.96380001,4
3500,.99409997,5
3510,.99440002,5
3520,.99669999,5
3530,.99010003,5
3540,.99349999,5
3550,.9921,5
3560,.99250001,5
3570,.99290001,5
3580,.99370003,5
3590,1,5
3600,.99430001,5
3610,.99129999,5
3620,.99349999,5
3630,.9896,5
3640,1,5
3650,.99919999,5
3660,.98760003,5
3700,.99589998,5
3710,.98930001,5
3720,.99989998,5
3730,.98040003,5
3740,.99760002,5
3800,.99659997,5
3809,0,1
3810,.9975,5
3818,0,1
3819,0,1
3820,.98629999,5
3840,.98869997,5
3849,0,1
3900,.9964,5
3910,.99199998,5
3920,.99860001,5
3930,.99610001,5
3940,.99529999,5
3949,0,1
4000,.9921,5
4009,0,1
4010,.98659998,5
4020,.9971,5
4030,.97579998,5
4040,.9975,5
4100,.99190003,5
4110,0,1
4129,0,1
4200,.99730003,5
4210,.9982,5
4230,.97909999,5
4239,0,1
4240,.96640003,4
4250,.9928,5
4259,0,1
4270,0,1
4280,0,1
4300,.83149999,3
4307,0,1
4309,0,1
4317,0,1
4318,.99150002,5
4326,0,1
4327,0,1
4336,0,1
4337,0,1
4338,0,1
4359,0,1
4368,0,1
4369,.84329998,3
4400,.99919999,5
4420,.97869998,5
4450,1,5
4489,.99839997,5
4500,.99849999,5
4510,0,1
4519,.97570002,4
4530,.99769998,5
4535,0,1
4600,.87230003,3
4610,.9892,5
4620,.94989997,4
4630,.85790002,3
4640,.9975,5
4710,.99559999,5
4718,0,1
4720,0,1
4729,0,1
4739,.97689998,5
4810,.99900001,5
4815,0,1
4840,0,1
4843,0,1
4849,0,1
4850,0,1
4859,0,1
4899,.96160001,4
4908,0,1
4910,.87849998,3
4918,.99769998,5
4919,.97399998,4
4920,.99949998,5
4921,0,1
4929,1,5
4930,1,5
4938,.99919999,5
4939,.99910003,5
4940,1,5
4950,.99910003,5
4960,.99849999,5
4970,.9982,5
5000,.90079999,3
5009,0,1
5010,.71079999,3
5020,.72799999,3
5039,0,1
5060,0,1
5100,.89590001,3
5109,0,1
5110,.89600003,3
5118,.91869998,4
5119,.98220003,5
5126,0,1
5128,0,1
5130,0,1
5200,.96990001,4
5214,0,1
5219,.95029998,4
5220,.96899998,4
5230,.95139998,4
5238,0,1
5240,.98680001,5
5249,0,1
5260,.90700001,3
5268,0,1
5269,.74519998,3
5270,.93720001,4
5280,.87010002,3
5310,.9576,4
5320,.96920002,4
5348,.98299998,5
5349,0,1
5360,.93849999,4
5370,.89090002,3
5379,.8186,3
5400,.87440002,3
5500,.90829998,4
5501,0,1
5520,0,1
5530,.92769998,4
5610,.4637,2
5619,0,1
5620,0,1
5700,0,1
5710,.7665,3
