codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
1520,0,1,0,,0,,0,1,.91390002,3,1,1,1,1,4,2
1530,0,1,0,1,0,1,0,1,.91320002,3,1,1,1,1,4,2
1537,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1538,0,1,0,1,1,4,0,1,.92790002,3,1,1,5,1,4,3
1539,0,1,0,,0,,0,1,1,5,1,1,1,1,2,2
1539,0,1,0,,0,,0,1,.81529999,2,1,1,1,1,5,2
1540,0,1,0,,0,,0,1,.91930002,3,1,1,1,1,4,2
1540,0,1,0,,0,,0,1,.82520002,2,1,1,1,1,5,2
1540,0,1,0,,0,,0,1,.9375,3,1,1,1,1,3,2
1540,0,1,0,,0,,0,1,.92970002,3,1,1,1,1,4,2
1540,0,1,0,,0,,0,1,.92970002,3,1,1,1,1,4,2
1548,0,1,0,1,0,1,0,1,.8804,2,1,1,1,1,4,2
1549,0,1,0,1,0,1,0,1,.87339997,2,1,1,1,1,4,2
1550,0,1,0,,0,,0,1,.8926,2,1,1,1,1,4,2
1550,0,1,0,,0,,0,1,.98449999,4,1,1,1,1,3,2
1550,0,1,0,,0,,0,1,.89709997,2,1,1,1,1,4,2
1560,0,1,0,,0,,0,1,.98699999,4,1,1,1,1,2,2
1560,0,1,0,,0,,0,1,.9781,4,1,1,1,1,3,2
1560,0,1,0,,0,,0,1,.96749997,4,1,1,1,1,3,2
1560,0,1,0,,0,,0,1,.87849998,2,1,1,1,1,4,2
1566,0,1,0,1,0,1,0,1,.99159998,5,1,1,1,1,2,2
1567,0,1,0,1,0,1,0,1,.8926,2,1,1,1,1,4,2
1569,0,1,0,1,0,1,0,1,.94370002,3,1,1,1,1,3,2
1580,0,,0,,0,,0,,1,,1,1,1,1,2,2
1580,0,,0,,0,,0,,1,,1,1,1,1,2,2
1585,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1586,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1587,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1588,0,1,0,1,0,1,0,1,.95190001,4,1,1,1,1,3,2
1589,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1590,0,1,0,1,0,1,0,1,1,5,1,1,1,1,2,2
1600,0,1,0,1,0,,0,1,.97589999,4,1,1,1,1,3,2
1600,0,1,0,1,0,,0,1,.97589999,4,1,1,1,1,3,2
1610,0,1,0,,0,,0,1,.93769997,3,1,1,1,1,3,2
1610,0,1,0,,0,,0,1,.96679997,4,1,1,1,1,3,2
1618,0,1,0,,0,,0,1,1,5,1,1,1,1,2,2
1618,0,1,0,,0,,0,1,.99769998,5,1,1,1,1,2,2
1619,0,1,0,,0,,0,1,1,5,1,1,1,1,2,2
1619,0,1,0,,0,,0,1,.97219998,4,1,1,1,1,3,2
1620,0,1,0,1,1,4,0,1,.98689997,4,1,1,5,1,2,2
1630,0,1,0,,0,,0,1,.8524,2,1,1,1,1,4,2
1630,0,1,0,,0,,0,1,.96460003,4,1,1,1,1,3,2
1630,0,1,0,,0,,0,1,.95660001,4,1,1,1,1,3,2
1630,0,1,0,,0,,0,1,.92089999,3,1,1,1,1,4,2
1640,1,5,0,1,0,1,0,1,.9817,4,5,1,1,1,3,3
1645,0,1,0,1,0,1,0,1,.93229997,3,1,1,1,1,3,2
1650,0,1,0,,0,,0,1,.8721,2,1,1,1,1,4,2
1650,0,1,0,,0,,0,1,.87599999,2,1,1,1,1,4,2
1650,0,1,0,,0,,0,1,.66930002,1,1,1,1,1,5,2
1650,0,1,0,,0,,0,1,.90600002,3,1,1,1,1,4,2
1650,0,1,0,,0,,0,1,.84429997,2,1,1,1,1,4,2
1650,0,1,0,,0,,0,1,.66850001,1,1,1,1,1,5,2
1650,0,1,0,,0,,0,1,.9677,4,1,1,1,1,3,2
1700,1,5,0,,0,,1,5,.83420002,2,5,1,1,5,5,4
1700,1,5,0,,0,,1,5,.95020002,4,5,1,1,5,3,4
1700,1,5,0,,0,,1,5,.15790001,1,5,1,1,5,5,4
1700,1,5,0,,0,,1,5,.87690002,2,5,1,1,5,4,4
1700,1,5,0,,0,,1,5,.72430003,1,5,1,1,5,5,4
1700,1,5,0,,0,,1,5,.86769998,2,5,1,1,5,4,4
1708,0,1,0,,0,,0,1,.80739999,1,1,1,1,1,5,2
1708,0,1,0,,0,,0,1,.8448,2,1,1,1,1,4,2
1710,1,5,0,,0,,0,1,.98449999,4,5,1,1,1,3,3
1710,1,5,0,,0,,0,1,.99159998,5,5,1,1,1,2,3
1720,0,1,0,1,2,5,0,1,.99089998,5,1,1,5,1,2,2
1729,0,1,0,1,5,5,0,1,.98140001,4,1,1,5,1,3,3
1730,0,1,0,,0,,0,1,.9285,3,1,1,1,1,4,2
1730,0,1,0,,0,,0,1,.99959999,5,1,1,1,1,2,2
1740,0,1,0,,0,,0,1,.9059,3,1,1,1,1,4,2
1740,0,1,0,,0,,0,1,.8926,2,1,1,1,1,4,2
1740,0,1,0,,0,,0,1,.7148,1,1,1,1,1,5,2
1750,0,1,0,,0,,0,1,.46430001,1,1,1,1,1,5,2
1750,0,1,0,,0,,0,1,.91079998,3,1,1,1,1,4,2
1750,0,1,0,,0,,0,1,.67009997,1,1,1,1,1,5,2
1759,0,1,0,1,0,1,0,1,.87589997,2,1,1,1,1,4,2
1760,0,1,0,,0,,0,1,.84539998,2,1,1,1,1,4,2
1760,0,1,0,,0,,0,1,.99779999,5,1,1,1,1,2,2
1760,0,1,0,,0,,0,1,.75340003,1,1,1,1,1,5,2
1770,0,1,0,,0,,0,1,.81569999,2,1,1,1,1,5,2
1770,0,1,0,,0,,0,1,.98470002,4,1,1,1,1,3,2
1780,0,1,0,,0,,0,1,.75169998,1,1,1,1,1,5,2
1780,0,1,0,,0,,0,1,.90979999,3,1,1,1,1,4,2
1788,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1789,0,1,0,1,0,1,0,1,.77060002,1,1,1,1,1,5,2
1790,0,1,0,,0,,0,1,.72670001,1,1,1,1,1,5,2
1790,0,1,0,,0,,0,1,.99730003,5,1,1,1,1,2,2
1800,1,5,504,5,0,1,0,1,.7403,1,5,5,1,1,5,4
1807,0,1,0,1,0,1,0,1,.9598,4,1,1,1,1,3,2
1810,0,1,0,1,3,5,1,5,.99659997,5,1,1,5,5,2,3
1820,0,1,0,,0,,1,5,.4093,1,1,1,1,5,5,3
1820,0,1,0,,0,,1,5,.99699998,5,1,1,1,5,2,3
1830,0,1,647,5,0,1,0,1,.55809999,1,1,5,1,1,5,3
1840,0,1,0,1,0,1,0,1,.88300002,2,1,1,1,1,4,2
1849,0,1,0,,0,,0,1,.9598,4,1,1,1,1,3,2
1849,0,1,0,,0,,0,1,.65270001,1,1,1,1,1,5,2
1856,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1857,0,1,0,1,0,1,0,1,.81779999,2,1,1,1,1,5,2
1859,0,1,0,1,0,1,0,1,.7026,1,1,1,1,1,5,2
1860,0,1,0,1,0,1,0,1,.8714,2,1,1,1,1,4,2
1863,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1870,0,1,0,1,2,5,0,1,.86220002,2,1,1,5,1,4,3
