codigo,reportesretio,freportesretio
14248,0,1
14265,1,4
14266,0,1
14267,1,4
14268,0,1
14269,0,1
14270,0,1
14273,0,1
14275,1,4
14276,0,1
14307,0,1
14309,0,1
14320,1,4
14324,0,1
14325,0,1
14327,0,1
14329,0,1
14334,0,1
14336,2,5
14337,0,1
14339,0,1
14350,0,1
14356,1,4
14358,0,1
14376,1,4
14377,0,1
14378,0,1
14386,0,1
14387,1,4
14388,1,4
14389,0,1
14399,0,1
14400,2,5
14406,0,1
14408,0,1
14409,0,1
14410,0,1
14428,0,1
14429,0,1
14438,0,1
14439,0,1
14440,0,1
14450,0,1
14456,0,1
14460,0,1
14476,0,1
14479,0,1
14480,0,1
14490,0,1
14500,0,1
14520,0,1
14529,0,1
14550,0,1
14600,0,1
14608,0,1
14609,0,1
14610,7,5
14629,0,1
14639,0,1
14640,0,1
14643,0,1
14646,0,1
14650,1,4
14651,0,1
14653,0,1
14655,0,1
14656,0,1
14657,0,1
14658,0,1
14659,0,1
14700,0,1
14710,0,1
14720,0,1
14730,0,1
14734,0,1
14737,0,1
14738,1,4
14739,0,1
14740,0,1
14749,0,1
14750,0,1
14760,0,1
14780,0,1
14790,0,1
14900,0,1
15000,1,4
15010,0,1
15020,0,1
15100,0,1
15120,0,1
15200,0,1
15210,0,1
15230,0,1
15240,0,1
15250,0,1
15260,0,1
15270,0,1
15280,0,1
15290,0,1
15299,0,1
15300,1,4
15309,0,1
15320,0,1
15330,0,1
15339,0,1
15340,0,1
15350,0,1
15370,0,1
15380,0,1
15390,1,4
15400,0,1
15410,0,1
15420,0,1
15430,1,4
15440,0,1
15450,0,1
15460,0,1
15470,0,1
15500,0,1
15510,2,5
15520,1,4
15530,0,1
15540,0,1
15610,0,1
15620,0,1
15630,0,1
15650,0,1
15669,0,1
15670,0,1
15700,1,4
15710,0,1
15720,0,1
15730,1,4
15740,0,1
15750,0,1
15800,1,4
15810,0,1
15820,0,1
15829,0,1
15830,0,1
15840,0,1
15850,0,1
15860,2,5
15870,0,1
15900,0,1
15909,0,1
15940,0,1
15950,0,1
15960,2,5
15968,0,1
15970,0,1
15980,0,1
15990,0,1
16001,0,1
16019,0,1
16029,0,1
16034,1,4
16036,0,1
16038,0,1
16039,0,1
16057,0,1
16058,0,1
16060,0,1
16095,0,1
16098,0,1
16099,0,1
16100,0,1
16105,0,1
16200,0,1
16210,0,1
16220,0,1
16244,0,1
16247,0,1
16248,0,1
16300,0,1
16310,0,1
16320,0,1
16330,0,1
16340,0,1
16400,0,1
16410,0,1
16420,0,1
16428,0,1
16429,0,1
16430,0,1
16440,0,1
16443,0,1
16450,0,1
16457,0,1
16459,1,4
16500,1,4
16510,0,1
16515,0,1
16533,0,1
16600,0,1
16604,0,1
16605,0,1
16606,0,1
16607,0,1
16609,0,1
16610,0,1
16614,0,1
16615,0,1
16616,0,1
16617,0,1
16620,0,1
16630,0,1
16640,0,1
16710,0,1
16720,0,1
16739,0,1
16740,0,1
16749,1,4
16750,0,1
16770,0,1
16797,0,1
16799,0,1
16800,0,1
16808,0,1
16809,0,1
16813,0,1
