codigo,aguaresidual,faguaresidual
11649,0,1
11650,0,1
11700,1,5
11810,0,1
11820,0,1
11830,0,1
11840,0,1
11860,0,1
11869,0,1
11870,0,1
11920,0,1
11930,0,1
11950,0,1
12009,0,1
12070,0,1
12080,0,1
12250,0,1
12300,0,1
12410,0,1
12500,0,1
12600,0,1
12700,0,1
12800,0,1
12910,0,1
12920,0,1
12930,0,1
12940,0,1
12950,0,1
13000,0,1
13009,0,1
13010,0,1
13020,0,1
13030,0,1
13040,0,1
13050,0,1
13063,0,1
13090,0,1
13093,0,1
13094,0,1
13099,0,1
13110,0,1
13119,0,1
13123,0,1
13129,0,1
13150,0,1
13180,0,1
13200,0,1
13209,0,1
13210,0,1
13220,0,1
13229,0,1
13230,0,1
13250,0,1
13273,0,1
13280,0,1
13310,0,1
13315,0,1
13318,0,1
13363,0,1
13400,0,1
13419,0,1
13420,0,1
13429,0,1
13430,0,1
13460,0,1
13500,0,1
13509,0,1
13510,0,1
13520,0,1
13529,0,1
13545,0,1
13546,0,1
13549,0,1
13559,0,1
13600,0,1
13601,1,5
13610,0,1
13625,0,1
13630,0,1
13640,0,1
14009,1,5
14010,0,1
14017,0,1
14020,0,1
14030,0,1
14049,0,1
14050,0,1
14060,0,1
14090,0,1
14098,0,1
14120,0,1
14129,0,1
14130,0,1
14140,0,1
14141,0,1
14148,0,1
14149,0,1
14150,0,1
14160,0,1
14208,0,1
14209,0,1
14210,0,1
14230,0,1
14239,0,1
14248,0,1
14265,0,1
14266,0,1
14267,0,1
14268,0,1
14269,0,1
14270,0,1
14273,0,1
14275,0,1
14276,0,1
14307,0,1
14309,0,1
14320,0,1
14324,0,1
14325,0,1
14327,0,1
14329,0,1
14334,0,1
14336,0,1
14337,0,1
14339,0,1
14350,0,1
14356,0,1
14358,0,1
14376,0,1
14377,0,1
14378,0,1
14386,0,1
14387,0,1
14388,0,1
14389,0,1
14399,0,1
14400,0,1
14406,1,5
14408,0,1
14409,0,1
14410,0,1
14428,0,1
14429,0,1
14438,0,1
14439,0,1
14440,0,1
14450,0,1
14456,0,1
14460,0,1
14476,0,1
14479,1,5
14480,0,1
14490,0,1
14500,0,1
14520,0,1
14529,0,1
14550,0,1
14600,0,1
14608,0,1
14609,0,1
14610,0,1
14629,0,1
14639,0,1
14640,1,5
14643,0,1
14646,0,1
14650,0,1
14651,0,1
14653,0,1
14655,0,1
14656,0,1
14657,0,1
14658,0,1
14659,0,1
14700,0,1
