codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,dup,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
2480,0,1,4,4,0,1,0,1,.98989999,5,0,1,4,1,1,5,3
2500,0,1,0,1,0,1,0,1,.99659997,5,0,1,1,1,1,5,2
2519,0,1,0,1,0,1,0,1,.9199,3,0,1,1,1,1,4,2
2520,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2525,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2530,0,1,0,1,0,1,0,1,.97140002,4,0,1,1,1,1,4,2
2540,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2600,0,1,1,2,0,1,0,1,.95200002,4,0,1,3,1,1,4,2
2640,0,1,0,1,0,1,0,1,.9077,3,0,1,1,1,1,4,2
2650,0,1,4,4,0,1,0,1,.96359998,4,0,1,4,1,1,4,3
2660,0,1,0,1,0,1,0,1,.91869998,3,0,1,1,1,1,4,2
2670,0,1,6,4,0,1,0,1,.92309999,3,0,1,4,1,1,4,3
2680,0,1,0,1,0,1,0,1,.91600001,3,0,1,1,1,1,4,2
2700,0,1,13,4,0,1,0,1,.85759997,2,0,1,5,1,1,3,2
2718,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2719,0,1,1,2,1,4,0,1,.83829999,2,0,1,3,4,1,3,3
2729,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2730,0,1,27,5,0,1,0,1,.97030002,4,0,1,5,1,1,4,3
2739,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2770,0,1,0,1,0,1,0,1,.82669997,2,0,1,1,1,1,3,2
2780,0,1,0,1,0,1,0,1,.93589997,3,0,1,1,1,1,4,2
2790,1,5,32,5,0,1,0,1,.94709998,3,0,5,5,1,1,4,4
2800,0,1,25,5,0,1,0,1,.99669999,5,0,1,5,1,1,5,3
2820,0,,0,,1,4,0,,0,,0,1,1,4,1,1,2
2850,0,1,1,2,0,1,0,1,.94959998,3,0,1,3,1,1,4,2
2860,0,1,9,4,4,5,0,1,.94959998,3,0,1,5,5,1,4,3
2870,0,1,3,3,0,1,0,1,.97000003,4,0,1,4,1,1,4,3
2900,0,1,0,1,0,1,0,1,.90859997,3,0,1,1,1,1,4,2
2910,0,1,3,3,0,1,0,1,.92570001,3,0,1,4,1,1,4,3
2920,0,1,2,3,0,1,0,1,.96069998,4,0,1,4,1,1,4,3
2930,0,1,0,1,0,1,0,1,.91339999,3,0,1,1,1,1,4,2
2940,0,1,0,1,0,1,0,1,.95969999,4,0,1,1,1,1,4,2
2950,0,1,17,4,0,1,0,1,.93409997,3,0,1,5,1,1,4,3
2960,0,1,1,2,0,1,0,1,.76249999,1,0,1,3,1,1,3,2
2970,0,1,0,1,0,1,0,1,.85949999,2,0,1,1,1,1,3,2
2990,0,1,3,3,3,5,0,1,.96749997,4,0,1,4,5,1,4,3
3000,0,1,9,4,3,5,0,1,.99699998,5,0,1,5,5,1,5,4
3010,0,1,5,4,0,1,0,1,.99519998,5,0,1,4,1,1,5,3
3027,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3028,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3103,0,1,19,5,0,1,0,1,.99769998,5,0,1,5,1,1,5,3
3104,0,1,27,5,0,1,0,1,.99720001,5,0,1,5,1,1,5,3
3109,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3199,0,,1,2,0,1,0,,0,,0,1,3,1,1,1,2
3200,0,1,21,5,4,5,0,1,.99129999,5,0,1,5,5,1,5,4
3219,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3220,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3229,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3230,0,1,4,4,5,5,0,1,.99760002,5,0,1,4,5,1,5,3
3240,1,5,13,4,3,5,0,1,1,5,0,5,5,5,1,5,5
3300,0,1,8,4,7,5,1,5,.99250001,5,0,1,4,5,5,5,4
3303,0,1,5,4,0,1,0,1,.99059999,5,0,1,4,1,1,5,3
3310,0,1,19,5,3,5,1,5,.98150003,4,0,1,5,5,5,5,5
3311,0,1,0,1,0,,1,5,0,,0,1,1,1,5,1,3
3313,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3319,1,5,1,2,0,1,0,1,0,,0,5,3,1,1,1,3
3320,0,1,1,2,1,4,0,1,.95340002,4,0,1,3,4,1,4,3
