codigo,basureros,reporte_falta_agua,reportesretio,aguaresidual,adecuacinsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
1729,0,0,5,0,.9814000000000001,1,1,5,1,2,2
1730,0,0,0,0,.9285,1,1,1,1,3,3
1730,0,0,0,0,.9996,1,1,1,1,1,1
1740,0,0,0,0,.9059,1,1,1,1,3,3
1740,0,0,0,0,.7148,1,1,1,1,5,5
1740,0,0,0,0,.8926,1,1,1,1,4,4
1750,0,0,0,0,.9108000000000001,1,1,1,1,3,3
1750,0,0,0,0,.6701,1,1,1,1,5,5
1750,0,0,0,0,.4643,1,1,1,1,5,5
1759,0,0,0,0,.8759,1,1,1,1,4,4
1760,0,0,0,0,.7534,1,1,1,1,5,5
1760,0,0,0,0,.9978,1,1,1,1,1,1
1760,0,0,0,0,.8454,1,1,1,1,4,4
1770,0,0,0,0,.8157,1,1,1,1,4,4
1770,0,0,0,0,.9847,1,1,1,1,2,2
1780,0,0,0,0,.7517,1,1,1,1,5,5
1780,0,0,0,0,.9098000000000001,1,1,1,1,3,3
1788,0,0,0,0,,1,1,1,1,,0
1789,0,0,0,0,.7706,1,1,1,1,5,5
1790,0,0,0,0,.7267,1,1,1,1,5,5
1790,0,0,0,0,.9973,1,1,1,1,1,1
1800,1,504,0,0,.7403,5,5,1,1,5,5
1807,0,0,0,0,.9598,1,1,1,1,2,2
1810,0,0,3,1,.9966,1,1,5,5,1,2
1820,0,0,0,1,.997,1,1,1,5,1,2
1820,0,0,0,1,.4093,1,1,1,5,5,5
1830,0,647,0,0,.5581,1,5,1,1,5,5
1840,0,0,0,0,.883,1,1,1,1,4,4
1849,0,0,0,0,.9598,1,1,1,1,2,2
1849,0,0,0,0,.6527,1,1,1,1,5,5
1856,0,0,0,0,,1,1,1,1,,0
1857,0,0,0,0,.8178,1,1,1,1,4,4
1859,0,0,0,0,.7026,1,1,1,1,5,5
1860,0,0,0,0,.8714,1,1,1,1,4,4
1863,0,0,0,0,,1,1,1,1,,0
1870,0,0,2,0,.8622,1,1,5,1,4,4
1900,1,0,29,0,.9939,5,1,5,1,1,2
1904,0,0,0,0,.9694,1,1,1,1,2,2
1940,0,0,0,0,,1,1,1,1,,0
1990,0,0,0,0,,1,1,1,1,,0
